event_id,datetime,session,rubric_version,ltf_state,ltf_dir,quality,compress,expansion,exhaust,htf1_state,htf1_dir,htf2_state,htf2_dir,sync,context,memory,tag,outcome_dir,outcome_atr,notes,screenshot
1,2025-10-01T22:45,NY,v0.4,TRAVERSAL,UP,62,28,9,18,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Direction Conflict,11,LED,UP,3.9,,event_001_signal.jpg | event_001_outcome.jpg
2,2025-10-01T04:45,London,v0.4,TRAVERSAL,UP,70,6,40,35,DRIFT,FLAT,NEUTRAL,UP,EQUIL_ALIGN,Mixed,11,LED,UP,4.7,I'M IGNORING THE FIRST CLEAN TRAVERSAL SIGNAL; IT'S NOT STRONG ENOUGH.,event_002_signal.jpg | event_002_outcome.jpg
3,2025-10-02T04:30,London,v0.4,TRAVERSAL,UP,63,10,18,35,NEUTRAL,,NEUTRAL,UP,MIXED,Mixed,12,WRONG,SIDEWAYS,0.1,,event_003_signal.jpg | event_003_outcome.jpg
4,2025-10-02T23:15,NY,v0.4,TRAVERSAL,DOWN,80,15,42,39,NEUTRAL,UP,NEUTRAL,UP,TRANSITION,Direction Conflict,12,LED,DOWN,7.1,,event_004_signal.jpg | event_004_outcome.jpg
5,2025-10-03T10:20,Tokyo,v0.4,TRAVERSAL,DOWN,56,20,15,50,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,12,LED,,2.8,"After the signal bar, the price moves 1.6 ATR in the expected direction before reversing. ",event_005_signal.jpg | event_005_outcome.jpg
6,2025-10-03T11:35,Tokyo,v0.4,TRAVERSAL,DOWN,64,14,34,37,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Mixed,12,WRONG,DOWN,1,,event_006_signal.jpg | event_006_outcome.jpg
7,2025-10-03T14:14,Tokyo,v0.4,TRAVERSAL,UP,61,14,19,34,NEUTRAL,DOWN,NEUTRAL,UP,TRANSITION,Direction Conflict,12,WRONG,UP,1,,event_007_signal.jpg | event_007_outcome.jpg
8,2025-10-03T20:20,London,v0.4,EXHAUSTION,DOWN,38,22,9,61,FAILED,,NEUTRAL,UP,CONFLICT,Mixed,7,LED,UP,2,"""GC NY. Exhaustion ▼ DOWN fired at 20:20 price 3,882, after prior Drift (~20:00) and Neutral (~20:10-20:15). Down move had largely played out before Exhaustion signaled — engine fired late relative to top (3,890). Within 6-bar window: MFE 5 pts up to 3,887 (1.8 ATR). MAE 4 pts down to 3,878 first (1.4 ATR adverse before favorable). Exhaust score 61 (below 70 docs threshold). Sync CONFLICT, Context Mixed — weak setup signal-side, but reversal materialized. LED by MFE rule with significant adverse excursion noted.""",event_008_signal.jpg | event_008_outcome.jpg
9,2025-10-03T09:40,NY,v0.4,TRAVERSAL,UP,56,9,31,35,FAILED,FLAT,NEUTRAL,UP,TRANSITION,Mixed,9,LED,UP,2,,event_009_signal.jpg | event_009_outcome.jpg
10,2025-10-06T10:55,Tokyo,v0.4,TRAVERSAL,UP,67,15,21,22,TRAVERSAL,UP,NEUTRAL,UP,MIXED,Macro Aligned,11,LED,UP,1.7,,event_010_signal.jpg | event_010_outcome.jpg
